id,actorid_id,movieid_id
23423,nm2395937,tt1564367
23434,nm0479471,tt1059786
23435,nm1157358,tt1059786
23436,nm0206257,tt1059786
23437,nm0004821,tt1059786
23438,nm1107001,tt1059786
23444,nm0000243,tt1037705
23445,nm0000198,tt1037705
23446,nm0005109,tt1037705
23447,nm0829032,tt1037705
23448,nm0000884,tt1037705
23477,nm0000093,tt2713180
23478,nm0479471,tt2713180
23479,nm0503567,tt2713180
23480,nm0671567,tt2713180
23481,nm1256532,tt2713180
23482,nm0000101,tt1302067
23483,nm0005493,tt1302067
23484,nm0267506,tt1302067
23485,nm0146915,tt1302067
23486,nm2554352,tt1302067
23492,nm0416673,tt1222817
23493,nm0206257,tt1222817
23494,nm0004753,tt1222817
23495,nm0421822,tt1222817
23496,nm0005531,tt1222817
23578,nm2185462,tt1762399
23579,nm0881631,tt1762399
23580,nm3886028,tt1762399
23581,nm0000491,tt1762399
23582,nm0519043,tt1762399
23630,nm6090983,tt1921064
23631,nm2719049,tt1921064
23632,nm5931802,tt1921064
23633,nm0000662,tt1921064
23634,nm1501388,tt1921064
23645,nm0425005,tt1397514
23646,nm0000323,tt1397514
23647,nm1242688,tt1397514
23648,nm0350079,tt1397514
23649,nm1227814,tt1397514
23650,nm0352778,tt1985966
23651,nm0267506,tt1985966
23652,nm0001001,tt1985966
23653,nm0287182,tt1985966
23654,nm1676221,tt1985966
23700,nm0136797,tt1690953
23701,nm1325419,tt1690953
23702,nm0000973,tt1690953
23703,nm1388927,tt1690953
23704,nm1258970,tt1690953
23752,nm0251986,tt1670345
23753,nm0749263,tt1670345
23754,nm0000437,tt1670345
23755,nm0279545,tt1670345
23756,nm2002649,tt1670345
23757,nm0001191,tt1375670
23758,nm0416673,tt1375670
23759,nm0001674,tt1375670
23760,nm0005450,tt1375670
23761,nm0001705,tt1375670
23802,nm0005110,tt1103153
23803,nm0001337,tt1103153
23804,nm0000633,tt1103153
23805,nm0001573,tt1103153
23806,nm0935395,tt1103153
23826,nm0147147,tt1253864
23827,nm0000620,tt1253864
23828,nm0001151,tt1253864
23829,nm2951768,tt1253864
23830,nm1812656,tt1253864
23896,nm0001191,tt1201167
23897,nm0736622,tt1201167
23898,nm0005182,tt1201167
23899,nm0051509,tt1201167
23900,nm1706767,tt1201167
23974,nm0000104,tt2279373
23975,nm1082823,tt2279373
23976,nm0176792,tt2279373
23977,nm0214430,tt2279373
23978,nm0667326,tt2279373
24024,nm1157048,tt1231580
24025,nm0189144,tt1231580
24026,nm0005134,tt1231580
24027,nm0519043,tt1231580
24028,nm1131557,tt1231580
24034,nm0124930,tt2302755
24035,nm0001173,tt2302755
24036,nm3124890,tt2302755
24037,nm0001518,tt2302755
24038,nm0950935,tt2302755
24044,nm0001173,tt1217613
24045,nm1913125,tt1217613
24046,nm0745194,tt1217613
24047,nm0362484,tt1217613
24048,nm1747924,tt1217613
24059,nm3528539,tt1568911
24060,nm0611932,tt1568911
24061,nm0001833,tt1568911
24062,nm0034390,tt1568911
24063,nm0000667,tt1568911
24064,nm0000123,tt2177771
24065,nm0000354,tt2177771
24066,nm0000195,tt2177771
24067,nm0000949,tt2177771
24068,nm0000422,tt2177771
24074,nm0833677,tt1027718
24075,nm0000140,tt1027718
24076,nm1659547,tt1027718
24077,nm0479471,tt1027718
24096,nm0000681,tt1578275
24097,nm0416673,tt1578275
24098,nm0000124,tt1578275
24099,nm0000213,tt1578275
24100,nm1475594,tt1578275
24111,nm0000295,tt1496025
24112,nm0001653,tt1496025
24113,nm1013003,tt1496025
24114,nm3772243,tt1496025
24115,nm2086223,tt1496025
24116,nm2584600,tt1336608
24117,nm1200153,tt1336608
24118,nm1546300,tt1336608
